ID;Name;Sex;Age;Height;Weight;Team;NOC;Games;Year;Season;City;Sport;Event;Medal;Host country
33072;Martina Maria Ertl-Renz;F;28;162;59;Allemagne;GER;2002 Winter;2002;Winter;Salt Lake City;Alpine Skiing;Alpine Skiing Women's Giant Slalom;NA;États-Unis
33072;Martina Maria Ertl-Renz;F;28;162;59;Allemagne;GER;2002 Winter;2002;Winter;Salt Lake City;Alpine Skiing;Alpine Skiing Women's Slalom;NA;États-Unis
33072;Martina Maria Ertl-Renz;F;28;162;59;Allemagne;GER;2002 Winter;2002;Winter;Salt Lake City;Alpine Skiing;Alpine Skiing Women's Combined;Bronze;États-Unis
33072;Martina Maria Ertl-Renz;F;32;162;59;Allemagne;GER;2006 Winter;2006;Winter;Torino;Alpine Skiing;Alpine Skiing Women's Super G;NA;Italie
33072;Martina Maria Ertl-Renz;F;32;162;59;Allemagne;GER;2006 Winter;2006;Winter;Torino;Alpine Skiing;Alpine Skiing Women's Giant Slalom;NA;Italie
33072;Martina Maria Ertl-Renz;F;32;162;59;Allemagne;GER;2006 Winter;2006;Winter;Torino;Alpine Skiing;Alpine Skiing Women's Slalom;NA;Italie
33072;Martina Maria Ertl-Renz;F;32;162;59;Allemagne;GER;2006 Winter;2006;Winter;Torino;Alpine Skiing;Alpine Skiing Women's Combined;NA;Italie
33115;Gitta Escher (-Sommer, -Wagenknecht);F;19;163;48;Allemagne de l'Ouest;GDR;1976 Summer;1976;Summer;Montreal;Gymnastics;Gymnastics Women's Individual All-Around;NA;Canada
33115;Gitta Escher (-Sommer, -Wagenknecht);F;19;163;48;Allemagne de l'Ouest;GDR;1976 Summer;1976;Summer;Montreal;Gymnastics;Gymnastics Women's Team All-Around;Bronze;Canada
33115;Gitta Escher (-Sommer, -Wagenknecht);F;19;163;48;Allemagne de l'Ouest;GDR;1976 Summer;1976;Summer;Montreal;Gymnastics;Gymnastics Women's Floor Exercise;NA;Canada
33115;Gitta Escher (-Sommer, -Wagenknecht);F;19;163;48;Allemagne de l'Ouest;GDR;1976 Summer;1976;Summer;Montreal;Gymnastics;Gymnastics Women's Horse Vault;NA;Canada
33115;Gitta Escher (-Sommer, -Wagenknecht);F;19;163;48;Allemagne de l'Ouest;GDR;1976 Summer;1976;Summer;Montreal;Gymnastics;Gymnastics Women's Uneven Bars;NA;Canada
