ID;Name;Sex;Age;Height;Weight;Team;NOC;Games;Year;Season;City;Sport;Event;Medal;Host country
32582;Thomas Endres;M;19;180;76;Allemagne de l'Est;FRG;1988 Summer;1988;Summer;Seoul;Fencing;Fencing Men's Foil, Team;Silver;Corée du Sud
32585;Bernard Endrich;M;23;181;76;Allemagne de l'Est;FRG;1972 Summer;1972;Summer;Munich;Volleyball;Volleyball Men's Volleyball;NA;Allemagne de l'Ouest
32587;Erika Endriss;F;21;174;64;Allemagne de l'Est;FRG;1976 Summer;1976;Summer;Montreal;Rowing;Rowing Women's Coxed Eights;NA;Canada
32619;Heinfried Engel;M;21;186;74;Allemagne de l'Est;FRG;1968 Summer;1968;Summer;Mexico City;Athletics;Athletics Men's Pole Vault;NA;Mexique
32623;Sabine Engel (-Hennlich);F;22;178;80;Allemagne de l'Ouest;GDR;1976 Summer;1976;Summer;Montreal;Athletics;Athletics Women's Discus Throw;NA;Canada
32624;Viktor Engel;M;37;188;88;Allemagne de l'Est;FRG;1984 Summer;1984;Summer;Los Angeles;Shooting;Shooting Men's Rapid-Fire Pistol, 25 metres;NA;États-Unis
32631;Hermann Engelhard;M;24;176;65;Allemagne;GER;1928 Summer;1928;Summer;Amsterdam;Athletics;Athletics Men's 800 metres;Bronze;Pays-Bas
32631;Hermann Engelhard;M;24;176;65;Allemagne;GER;1928 Summer;1928;Summer;Amsterdam;Athletics;Athletics Men's 4 x 400 metres Relay;Silver;Pays-Bas
32632;Julius Ussy Engelhard;M;49;NA;NA;Allemagne;GER;1932 Summer;1932;Summer;Los Angeles;Art Competitions;Art Competitions Mixed Painting, Unknown Event;NA;États-Unis
32632;Julius Ussy Engelhard;M;53;NA;NA;Allemagne;GER;1936 Summer;1936;Summer;Berlin;Art Competitions;Art Competitions Mixed Painting, Applied Arts;NA;Allemagne
32633;Alexandra Engelhardt (Demmel-);F;25;160;48;Allemagne;GER;2008 Summer;2008;Summer;Beijing;Wrestling;Wrestling Women's Flyweight, Freestyle;NA;Chine
32633;Alexandra Engelhardt (Demmel-);F;29;160;48;Allemagne;GER;2012 Summer;2012;Summer;London;Wrestling;Wrestling Women's Flyweight, Freestyle;NA;Royaume-Uni
32635;Dieter Engelhardt;M;26;NA;NA;Allemagne;GER;1952 Summer;1952;Summer;Helsinki;Athletics;Athletics Men's Marathon;NA;Finlande
32636;Dieter Engelhardt;M;26;175;70;Allemagne;GER;1964 Summer;1964;Summer;Tokyo;Football;Football Men's Football;Bronze;Japon
32638;Olaf Engelhardt;M;25;188;95;Allemagne de l'Ouest;GDR;1976 Summer;1976;Summer;Montreal;Sailing;Sailing Mixed Three Person Keelboat;Bronze;Canada
